Unnamed: 0,Date,text_headlines
226,2017-11-20 04:06:00,breaking                    urban outfitters shares up 10percent after q3 earnings
231,2017-09-14 11:56:00,premium                                                                                                        persistent 2017 bull trend continues to defy seasonal tendencies
232,2017-09-14 11:14:00,victoria’s secret losing customers on price and bralettes won’t bring them back study
238,2017-08-19 00:38:00,                                                                                                        stocks stagger again on continuing political turmoil
240,2017-08-17 07:57:00,urban outfitters shares spike 22percent after earnings but analysts say there’s little to cheer about
242,2017-08-16 01:02:00,                                                                                                        urban outfitters shares up but still a hot mess
243,2017-08-16 10:12:00,‘just say no’ to the s&p 500 and buy these stocks instead say gmo’s strategists
245,2017-08-16 07:35:00,urban outfitters stock price target raised to $19 from $16 at wells fargo
246,2017-08-16 07:28:00,urban outfitters stock price target raised to $21 from $17 at rbc capital
249,2017-08-16 07:16:00,urban outfitters stock price target raised to $22 from $21 at suntrust rh
250,2017-08-15 04:17:00,urban outfitters shares rally after sales earnings beat
253,2017-08-15 04:05:00,urban outfitters shares up 7percent after company earnings
255,2017-07-31 07:32:00,attention shoppers ‘amazon effect’ is creating bargain stocks
258,2017-07-01 01:32:00,                                                                                                        a game-changing week for markets sees nasdaq fall 2percent
260,2017-06-15 07:32:00,urban outfitters stock-price target cut to $17 from $21 at rbc capital
261,2017-06-09 10:54:00,urban outfitter stock price target cut to $16 from $19 at mkm partners
262,2017-06-09 07:05:00,urban outfitter stock price target cut to $21 from $25 at suntrust rh
271,2017-05-17 11:14:00,urban outfitters stock price target cut to $21 from $26 at instinet
273,2017-05-17 07:26:00,urban outfitters stock price target cut to $20 from $26 at wunderlich securities
274,2017-05-17 07:16:00,urban outfitters stock price target cut to $25 from $30 at suntrust rh
277,2017-05-11 04:21:00,retail stocks rocked as macy’s casts pall on sector
278,2017-04-04 09:54:00,urban outfitters stock price target cut to $23 from $32 at citigroup
284,2017-03-11 11:27:00,clothing retailers slide as mizuho downgrades stocks after slow spring start
288,2017-03-08 10:48:00,urban outfitters stock price target cut to $25 from $27 at ubs
289,2017-03-08 10:36:00,urban outfitters shares down 56percent in wednesday trading
290,2017-03-08 10:36:00,urban outfitters price target cut to $25 from $27 at ubs
291,2017-03-08 09:51:00,urban outfitters shares fall 6percent in early trade at $2392 to lead s&p 500 decliners
292,2017-03-08 09:27:00,why spring means a slump for stocks — but only a petite plunge
293,2017-03-08 08:48:00,urban outfitters stock price target cut to $26 from $29 at instinet
294,2017-03-08 07:44:00,urban outfitters stock price target cut to $24 from $29 at rbc capital
296,2017-03-07 04:12:00,urban outfitters rises after slight earnings miss
297,2017-03-07 11:21:00,these stocks are outrunning the bull market with quadruple-digit gains
298,2017-03-06 08:41:00,urban outfitters stock price target cut to $26 from $32 at wunderlich
304,2017-02-27 10:33:00,urban outfitters stock price target cut to $20 from $25 at mkm partners
306,2017-02-09 01:22:00,russian stocks us banks remain clear winners in trump trade
308,2017-02-08 00:52:00,urban outfitters price target lowered to $27 from $30 at ubs
309,2017-02-08 07:29:00,urban outfitters stock price target cut to $26 from $28 at jp morgan
310,2017-02-07 04:24:00,urban outfitters shares slip after sales same-store sales fall short of estimates
