Unnamed: 0,Date,text_headlines
1065,2010-02-01 09:09:00,us stock futures rise following difficult january
1070,2010-01-29 05:34:00,urban outfitters shares rise 34percent in evening trade
1072,2010-01-26 04:50:00,retail stocks rise as sector outlook brightens
1075,2010-01-22 01:38:00,deutsche bank rates gap sell tjx buy
1076,2010-01-07 04:31:00,updates advisories and surprises
1077,2010-01-07 06:14:00,urban outfitters holiday same-store sales rose 5percent
1078,2010-01-07 06:06:00,urban outfitters 2-month comp retail sales up 9percent
1079,2010-01-07 06:05:00,urban outfitters 2-month sales up 16percent at $452m
1083,2009-11-12 09:45:00,retail stocks rise as wal-mart kohl's top views
1085,2009-11-12 06:08:00,urban outfitters q3 sales $5059m vs $478m
1086,2009-11-12 06:08:00,urban outfitters q3 earnings 36c vs 35c
1087,2009-11-05 08:44:00,us stock futures rise on economic data cisco
1088,2009-11-05 06:12:00,urban outfitters quarterly same-store sales up 2percent
1089,2009-11-05 06:07:00,urban outfitters q3 comparable retail sales up 2percent
1090,2009-11-05 06:07:00,urban outfitters q3 sales up 6percent at $506m
1091,2009-10-12 10:15:00,retail stocks rise as abercrombie upgraded to buy
1092,2009-10-06 01:06:00,september's sales may yield positive surprise for retailers
1094,2009-08-13 04:31:00,updates advisories and surprises
1096,2009-08-13 06:05:00,urban outfitters q2 earnings 29c vs 33c
1097,2009-08-13 06:05:00,urban outfitters q2 sales $4586m vs $4543m
1100,2009-08-07 10:34:00,retail stocks rise as job losses moderate
1101,2009-08-07 09:37:00,retail stocks rise as job losses slow
1103,2009-08-06 06:28:00,urban outfitters quarterly same-store sales fall 6
1104,2009-08-06 06:24:00,urban outfitters q2 comparable store sales down 6percent
1105,2009-08-06 06:16:00,urban outfitters q2 sales up 1percent at $459m
1107,2009-06-10 05:58:00,money markets and more (us markets preview for thursday june 11th) retail sales in focus
1111,2009-05-14 05:01:00,updates advisories and surprises
1112,2009-05-14 10:12:00,sector mixed as wal-mart meets estimates kohl's beats
1120,2009-05-08 06:15:00,us week ahead retail earnings loom
1122,2009-05-07 09:00:00,us stock futures rise as wal-mart ge fare better than expected
1123,2009-05-07 06:18:00,urban outfitters same-store sales fall 96percent
1124,2009-05-07 06:13:00,urban outfitters q1 comparable sales down 7percent
1125,2009-05-07 06:12:00,urban outfitters q1 sales down 2percent at $385m
1126,2009-05-04 04:22:00,retail sector rallies on positive economic data
1127,2009-05-01 04:51:00,tiffany buys luxury handbag label; sector shares fall
1131,2009-04-01 04:38:00,urban outfitters drops as sector erases earlier loss
1133,2009-04-01 09:42:00,macy's urban outfitters lead sector declines
1134,2009-04-01 09:07:00,urban outfitters says year-to-date sales trend has declined
1136,2009-03-20 04:58:00,urban outfitters cut to neutral in lower sector
1137,2009-03-20 09:38:00,urban outfitters cut to neutral in lower sector
1140,2009-03-05 09:01:00,updates advisories and surprises
1141,2009-03-05 06:35:00,urban outfitters 4th-quarter net off 24percent sales up 92percent
1142,2009-03-05 06:06:00,urban outfitters q4 earnings 24c vs 32c
1143,2009-03-05 06:06:00,urban outfitters q4 sales $3963m vs $3688m
1148,2009-02-05 06:12:00,urban outfitters fourth-quarter same-store sales rose 3percent
1149,2009-02-05 06:02:00,urban outfitters q4 comparable sales up 3percent
1150,2009-02-05 06:02:00,urban outfitters q4 sales up 9percent to $508 million
1152,2009-01-08 04:31:00,updates advisories and surprises
1154,2009-01-08 06:23:00,urban outfitters two-month same-store sales off 1percent
1155,2009-01-08 06:04:00,urban outfitters 2-month same-store sales down 1percent
1156,2009-01-08 06:04:00,urban outfitters 2-month same-store sales down 1percent
1157,2009-01-08 06:04:00,urban outfitters 2-month sales up 9percent at $389m
1162,2008-11-13 04:31:00,updates advisories and surprises
1163,2008-11-13 06:18:00,urban outfitters 3rd-quarter net rose 31percent sales rose 26percent
1164,2008-11-13 06:08:00,urban outfitters q3 sales $478m vs $3793m
1165,2008-11-13 06:08:00,urban outfitters q3 earnings 35c vs 27c
1168,2008-11-06 06:16:00,urban outfitters says quarterly same-store sales up 10percent
1169,2008-11-06 06:14:00,urban outfitters q3 same-store sales up 10percent
1170,2008-11-06 06:14:00,urban outfitters q3 sales up 26percent at $478m
